time, T, length, maxx, popt, pcov
1636245294116731000, 2.8121232390568047, 1.9643986979948602, 97.65816866500184, [ 4.59804263e+02 -4.90463568e+01  8.44486400e+01  3.55603192e-01], [[ 2.38148548e+02 -3.80934838e+02 -1.24311238e+02  8.78914909e-02]
 [-3.80934838e+02  1.69129472e+04  9.02890514e+03 -4.43060493e+00]
 [-1.24311238e+02  9.02890514e+03  5.40808225e+03 -2.42590392e+00]
 [ 8.78914909e-02 -4.43060493e+00 -2.42590392e+00  1.19123630e-03]]
1636245306013581000, 0.42532268643118226, 0.04493637503706473, 38.93246083389923, [446.26262704  29.5734351  -25.32090921   2.35115603], [[3.13920774e+02 1.08543934e+02 1.06701879e+02 4.22787776e-02]
 [1.08543934e+02 4.15524980e+04 4.70947816e+04 1.75804963e+01]
 [1.06701879e+02 4.70947816e+04 5.47504631e+04 2.01956159e+01]
 [4.22787776e-02 1.75804963e+01 2.01956159e+01 7.54370998e-03]]
1636245317907235000, 4.728667659739506, 5.5544175294355735, 46.18719424713167, [ 3.99107795e+02 -3.22659334e+01 -3.30479417e+01  2.11476059e-01], [[ 5.42317952e+02  8.72290190e+03 -8.13469408e+03  1.87802428e+00]
 [ 8.72290190e+03  1.90862779e+05 -1.79773686e+05  4.11141857e+01]
 [-8.13469408e+03 -1.79773686e+05  1.69923303e+05 -3.87745950e+01]
 [ 1.87802428e+00  4.11141857e+01 -3.87745950e+01  8.86653611e-03]]
